Pfam ID	number of PDBx structures	Family description
PF06441	17	Epoxide hydrolase N terminus
PF05743	17	UEV domain
PF05638	17	Type VI secretion system effector, Hcp
PF04722	17	Ssu72-like protein
PF04371	17	Porphyromonas-type peptidyl-arginine deiminase
PF03946	17	Ribosomal protein L11, N-terminal domain
PF03944	17	delta endotoxin
PF03928	17	Haem-degrading
PF03318	17	Clostridium epsilon toxin ETX/Bacillus mosquitocidal toxin MTX2
PF03291	17	mRNA capping enzyme
PF02927	17	Cellulase N-terminal ig-like domain
PF02924	17	Bacteriophage lambda head decoration protein D
PF02847	17	MA3 domain
PF02541	17	Ppx/GppA phosphatase family
PF02219	17	Methylenetetrahydrofolate reductase
PF02217	17	Origin of replication binding protein
PF02086	17	D12 class N6 adenine-specific DNA methyltransferase
PF02080	17	TrkA-C domain
PF02036	17	SCP-2 sterol transfer family
PF01975	17	Survival protein SurE
PF01471	17	Putative peptidoglycan binding domain
PF01403	17	Sema domain
PF01355	17	High potential iron-sulfur protein
PF01328	17	Peroxidase, family 2
PF01196	17	Ribosomal protein L17
PF01052	17	Type III flagellar switch regulator (C-ring) FliN C-term
PF01007	17	Inward rectifier potassium channel
PF00786	17	P21-Rho-binding domain
PF00773	17	RNB domain
PF00426	17	Outer Capsid protein VP4 (Hemagglutinin) Concanavalin-like domain
PF00411	17	Ribosomal protein S11
PF00243	17	Nerve growth factor family
PF17392	16	Urocanase C-terminal domain
PF17391	16	Urocanase N-terminal domain
PF16242	16	Pyridoxamine 5'-phosphate oxidase like
PF16183	16	Kinesin-associated
PF16124	16	RecQ zinc-binding
PF14608	16	RNA-binding, Nab2-type zinc finger
PF13622	16	Thioesterase-like superfamily
PF13501	16	Sulfur oxidation protein SoxY
PF12904	16	Putative collagen-binding domain of a collagenase 
PF12738	16	twin BRCT domain
PF12569	16	NMDA receptor-regulated protein 1 
PF12306	16	Inclusion body protein
PF12265	16	Histone-binding protein RBBP4 or subunit C of CAF1 complex
PF11991	16	Tryptophan dimethylallyltransferase
PF10509	16	Galactokinase galactose-binding signature
PF09414	16	RNA ligase
PF09268	16	Clathrin, heavy-chain linker
PF09222	16	Fimbrial adhesin F17-AG, lectin domain
PF09086	16	Domain of unknown function (DUF1924)
PF08332	16	Calcium/calmodulin dependent protein kinase II association domain
PF08329	16	Chitinase A, N-terminal domain
PF08000	16	Bacterial PH domain
PF06872	16	EspG protein
PF06505	16	Activator of aromatic catabolism
PF06134	16	L-rhamnose isomerase (RhaA)
PF05652	16	Scavenger mRNA decapping enzyme (DcpS) N-terminal
PF05189	16	RNA 3'-terminal phosphate cyclase (RTC), insert domain
PF04828	16	Glutathione-dependent formaldehyde-activating enzyme
PF04613	16	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase, LpxD  
PF04449	16	CS1 type fimbrial major subunit
PF04265	16	Thiamin pyrophosphokinase, vitamin B1 binding domain
PF04227	16	Indigoidine synthase A like protein
PF04212	16	MIT (microtubule interacting and transport) domain
PF03664	16	Glycosyl hydrolase family 62 
PF03360	16	Glycosyltransferase family 43
PF02972	16	Phycoerythrin, alpha/beta chain
PF02834	16	LigT like Phosphoesterase
PF02443	16	Circovirus capsid protein
PF02298	16	Plastocyanin-like domain
PF02270	16	Transcription initiation factor IIF, beta subunit
PF02191	16	Olfactomedin-like domain
PF02008	16	CXXC zinc finger domain
PF01491	16	Frataxin-like domain
PF01367	16	5'-3' exonuclease, C-terminal SAM fold
PF01351	16	Ribonuclease HII
PF01280	16	Ribosomal protein L19e
PF01189	16	16S rRNA methyltransferase RsmB/F
PF01175	16	Urocanase Rossmann-like domain
PF01153	16	Glypican
PF01137	16	RNA 3'-terminal phosphate cyclase
PF01026	16	TatD related DNase
PF00715	16	Interleukin 2
PF00667	16	FAD binding domain
PF00645	16	Poly(ADP-ribose) polymerase and DNA-Ligase Zn-finger region
PF00635	16	MSP (Major sperm protein) domain
PF00598	16	Influenza Matrix protein (M1)
PF00506	16	Influenza virus nucleoprotein
PF00388	16	Phosphatidylinositol-specific phospholipase C, X domain
PF00320	16	GATA zinc finger
PF00145	16	C-5 cytosine-specific DNA methylase
PF00021	16	u-PAR/Ly-6 domain
PF17203	15	Single cache domain 3
PF16865	15	Glutathione S-transferase, C-terminal domain
PF16450	15	Proteasomal ATPase OB/ID domain
PF14805	15	Tetrahydrodipicolinate N-succinyltransferase N-terminal
PF14588	15	YjgF/chorismate_mutase-like, putative endoribonuclease
PF13923	15	Zinc finger, C3HC4 type (RING finger)
PF13589	15	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase
PF13456	15	Reverse transcriptase-like
PF13447	15	Seven times multi-haem cytochrome CxxCH
PF13188	15	PAS domain
PF12999	15	Glucosidase II beta subunit-like
PF12900	15	Pyridoxamine 5'-phosphate oxidase
PF09397	15	Ftsk gamma domain
PF08699	15	Argonaute linker 1 domain
PF07972	15	NrdI Flavodoxin like 
PF07228	15	Stage II sporulation protein E (SpoIIE)
PF07039	15	SGF29 tudor-like domain
PF06824	15	Metal-independent alpha-mannosidase (GH125)
PF06574	15	FAD synthetase
PF06511	15	Invasion plasmid antigen IpaD
PF06411	15	HdeA/HdeB family
PF06397	15	Desulfoferrodoxin, N-terminal domain
PF06283	15	Trehalose utilisation
PF05505	15	Ebola nucleoprotein
PF05270	15	Alpha-L-arabinofuranosidase B (ABFB) domain
PF05016	15	ParE toxin of type II toxin-antitoxin system, parDE
PF04857	15	CAF1 family ribonuclease
PF04264	15	YceI-like domain
PF04197	15	Birnavirus RNA dependent RNA polymerase (VP1)
PF04106	15	Autophagy protein Apg5 
PF04029	15	2-phosphosulpholactate phosphatase
PF03960	15	ArsC family
PF03711	15	Orn/Lys/Arg decarboxylase, C-terminal domain
PF03709	15	Orn/Lys/Arg decarboxylase, N-terminal domain
PF03598	15	CO dehydrogenase/acetyl-CoA synthase complex beta subunit
PF03205	15	Molybdopterin guanine dinucleotide synthesis protein B
PF03201	15	H2-forming N5,N10-methylene-tetrahydromethanopterin dehydrogenase
PF03029	15	Conserved hypothetical ATP binding protein
PF03024	15	Folate receptor family
PF02844	15	Phosphoribosylglycinamide synthetase, N domain
PF02843	15	Phosphoribosylglycinamide synthetase, C domain
PF02685	15	Glucokinase
PF02675	15	S-adenosylmethionine decarboxylase 
PF02621	15	Menaquinone biosynthesis
PF02607	15	B12 binding domain
PF02437	15	SKI/SNO/DAC family
PF02406	15	MmoB/DmpM family 
PF02403	15	Seryl-tRNA synthetase N-terminal domain
PF02315	15	Methanol dehydrogenase beta subunit
PF02226	15	Picornavirus coat protein (VP4)
PF02198	15	Sterile alpha motif (SAM)/Pointed domain
PF02148	15	Zn-finger in ubiquitin-hydrolases and other protein
PF01931	15	Protein of unknown function DUF84
PF01906	15	Putative heavy-metal-binding
PF01582	15	TIR domain
PF01466	15	Skp1 family, dimerisation domain
PF01416	15	tRNA pseudouridine synthase
PF01371	15	Trp repressor protein
PF01300	15	Telomere recombination
PF01276	15	Orn/Lys/Arg decarboxylase, major domain
PF01139	15	tRNA-splicing ligase RtcB
PF01071	15	Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain
PF00889	15	Elongation factor TS
PF00882	15	Zinc dependent phospholipase C
PF00853	15	Runt domain
PF00777	15	Glycosyltransferase family 29 (sialyltransferase)
PF00757	15	Furin-like cysteine rich region
PF00555	15	delta endotoxin
PF00553	15	Cellulose binding domain
PF00437	15	Type II/IV secretion system protein
PF00404	15	Dockerin type I repeat
PF17137	14	Domain of unknown function (DUF5110)
PF14869	14	Domain of unknown function (DUF4488)
PF14859	14	Colicin M
PF14850	14	DNA-binding domain of Proline dehydrogenase
PF14793	14	Domain of unknown function (DUF4478)
PF14572	14	Phosphoribosyl synthetase-associated domain
PF14509	14	Glycosyl-hydrolase 97 C-terminal, oligomerisation
PF14508	14	Glycosyl-hydrolase 97 N-terminal
PF14492	14	Elongation Factor G, domain II
PF13975	14	gag-polyprotein putative aspartyl protease
PF13639	14	Ring finger domain
PF13537	14	Glutamine amidotransferase domain
PF12925	14	E2 domain of amyloid precursor protein
PF12892	14	Spy0128-like isopeptide containing domain
PF12354	14	Bacterial adhesion/invasion protein N terminal
PF12175	14	White spot syndrome virus structural envelope protein VP
PF11892	14	Domain of unknown function (DUF3412)
PF11713	14	Peptidase C80 family
PF11648	14	C-terminal domain of RIG-I
PF11546	14	Staphylococcal complement inhibitor SCIN 
PF10608	14	Polyubiquitination (PEST) N-terminal domain of MAGUK
PF10566	14	Glycoside hydrolase 97  
PF10528	14	GLEYA domain
PF09754	14	PAC2 family
PF09448	14	Methylmuconolactone methyl-isomerase 
PF09298	14	Fumarylacetoacetase N-terminal
PF09273	14	Rubisco LSMT substrate-binding
PF09265	14	Cytokinin dehydrogenase 1, FAD and cytokinin binding
PF08934	14	Rb C-terminal domain
PF08798	14	CRISPR associated protein
PF08770	14	Sulphur oxidation protein SoxZ
PF08676	14	MutL C terminal dimerisation domain
PF08512	14	Histone chaperone Rttp106-like
PF08484	14	C-methyltransferase C-terminal domain
PF08442	14	ATP-grasp domain
PF08421	14	Putative zinc binding domain
PF08191	14	LRR adjacent
PF07882	14	L-fucose isomerase, second N-terminal domain
PF07881	14	L-fucose isomerase, first N-terminal domain
PF07517	14	SecA DEAD-like domain
PF07516	14	SecA Wing and Scaffold domain
PF07496	14	CW-type Zinc Finger
PF07488	14	Glycosyl hydrolase family 67 middle domain
PF07477	14	Glycosyl hydrolase family 67 C-terminus
PF06479	14	Ribonuclease 2-5A
PF06227	14	dsDNA Poxvirus
PF06002	14	Alpha-2,3-sialyltransferase (CST-I)
PF05834	14	Lycopene cyclase protein
PF04814	14	Hepatocyte nuclear factor 1 (HNF-1), N terminus
PF04729	14	ASF1 like histone chaperone
PF04494	14	WD40 associated region in TFIID subunit, NTD2 domain
PF04446	14	tRNAHis guanylyltransferase
PF04052	14	TolB amino-terminal domain
PF04038	14	Dihydroneopterin aldolase
PF03764	14	Elongation factor G, domain IV
PF03713	14	Domain of unknown function (DUF305)
PF03648	14	Glycosyl hydrolase family 67 N-terminus
PF03587	14	EMG1/NEP1 methyltransferase
PF03477	14	ATP cone domain
PF03405	14	Fatty acid desaturase
PF03320	14	Bacterial fructose-1,6-bisphosphatase, glpX-encoded
PF03246	14	Pneumovirus nucleocapsid protein
PF03226	14	Yippee zinc-binding/DNA-binding /Mis18, centromere assembly
PF02952	14	L-fucose isomerase, C-terminal domain
PF02934	14	GatB/GatE catalytic domain
PF02917	14	Pertussis toxin, subunit 1
PF02903	14	Alpha amylase, N-terminal ig-like domain
PF02570	14	Precorrin-8X methylmutase
PF02445	14	Quinolinate synthetase A protein
PF02424	14	ApbE family
PF02302	14	PTS system, Lactose/Cellobiose specific IIB subunit
PF02020	14	eIF4-gamma/eIF5/eIF2-epsilon
PF01990	14	ATP synthase (F/14-kDa) subunit
PF01858	14	Retinoblastoma-associated protein A domain
PF01853	14	MOZ/SAS family
PF01812	14	5-formyltetrahydrofolate cyclo-ligase family
PF01715	14	IPP transferase
PF01592	14	NifU-like N terminal domain
PF01216	14	Calsequestrin
PF00632	14	HECT-domain (ubiquitin-transferase)
PF00450	14	Serine carboxypeptidase
PF00428	14	60s Acidic ribosomal protein
PF00365	14	Phosphofructokinase
PF16488	13	Argonaute linker 2 domain 
PF16486	13	N-terminal domain of argonaute
PF16207	13	RAWUL domain RING finger- and  WD40-associated ubiquitin-like
PF15515	13	MvaI/BcnI restriction endonuclease family
PF14749	13	Acyl-coenzyme A oxidase N-terminal
PF14537	13	Cytochrome c3
PF13838	13	Clathrin-H-link
PF13672	13	Protein phosphatase 2C
PF13534	13	4Fe-4S dicluster domain
PF13474	13	SnoaL-like domain
PF13452	13	N-terminal half of MaoC dehydratase
PF12891	13	Glycoside hydrolase family 44
PF12252	13	Dot/Icm substrate protein
PF11578	13	Protein of unknown function (DUF3237)
PF11266	13	Long-chain fatty aldehyde decarbonylase 
PF10431	13	C-terminal, D2-small domain, of ClpB protein 
PF09864	13	Membrane-bound lysozyme-inhibitor of c-type lysozyme
PF09480	13	Type III secretion system protein PrgH-EprH (PrgH)
PF09313	13	Domain of unknown function (DUF1971)
PF09278	13	MerR, DNA binding
PF08281	13	Sigma-70, region 4
PF08190	13	pre-RNA processing PIH1/Nop17
PF07724	13	AAA domain (Cdc48 subfamily)
PF07651	13	ANTH domain
PF06701	13	Mib_herc2
PF06500	13	Alpha/beta hydrolase of unknown function (DUF1100)
PF06445	13	GyrI-like small molecule binding domain
PF06276	13	Ferric iron reductase FhuF-like transporter
PF06058	13	Dcp1-like decapping family
PF05649	13	Peptidase family M13
PF05588	13	Clostridium botulinum HA-17 domain
PF05426	13	Alginate lyase
PF05223	13	NTF2-like N-terminal transpeptidase domain
PF04715	13	Anthranilate synthase component I, N terminal region
PF04472	13	Cell division protein SepF
PF04397	13	LytTr DNA-binding domain
PF04205	13	FMN-binding domain
PF04183	13	IucA / IucC family
PF04101	13	Glycosyltransferase family 28 C-terminal domain
PF04096	13	Nucleoporin autopeptidase
PF04043	13	Plant invertase/pectin methylesterase inhibitor
PF03485	13	Arginyl tRNA synthetase N terminal domain
PF03404	13	Mo-co oxidoreductase dimerisation domain
PF03237	13	Terminase-like family
PF03166	13	MH2 domain
PF03033	13	Glycosyltransferase family 28 N-terminal domain
PF02896	13	PEP-utilising enzyme, TIM barrel domain
PF02706	13	Chain length determinant protein
PF02602	13	Uroporphyrinogen-III synthase HemD
PF02481	13	DNA recombination-mediator protein A
PF02372	13	Interleukin 15
PF02289	13	Cyclohydrolase (MCH)
PF02272	13	DHHA1 domain
PF01877	13	RNA binding
PF01832	13	Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase
PF01756	13	Acyl-CoA oxidase
PF01441	13	Lipoprotein
PF01287	13	Eukaryotic elongation factor 5A hypusine, DNA-binding OB fold
PF01272	13	Transcription elongation factor, GreA/GreB, C-term
PF00887	13	Acyl CoA binding protein
PF00746	13	LPXTG cell wall anchor motif
PF00669	13	Bacterial flagellin N-terminal helical region
PF00631	13	GGL domain
PF00611	13	Fes/CIP4, and EFC/F-BAR homology domain
PF00610	13	Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)
PF00599	13	Influenza Matrix protein (M2)
PF00562	13	RNA polymerase Rpb2, domain 6
PF00427	13	Phycobilisome Linker polypeptide
PF00330	13	Aconitase family (aconitate hydratase)
PF00280	13	Potato inhibitor I family
PF00170	13	bZIP transcription factor
PF00100	13	Zona pellucida-like domain
PF17433	12	Glycosyl hydrolase family 49 N-terminal Ig-like domain
PF16859	12	Bacterial transcriptional repressor C-terminal
PF16686	12	ssDNA-binding domain of telomere protection protein
PF16579	12	Adenylate sensor of SNF1-like protein kinase
PF16403	12	Domain of unknown function (DUF5011)
PF16338	12	Domain of unknown function (DUF4968)
PF14864	12	Alkyl sulfatase C-terminal
PF14863	12	Alkyl sulfatase dimerisation
PF14696	12	Hydroxyphenylpyruvate dioxygenase, HPPD, N-terminal 
PF14450	12	Cell division protein FtsA
PF13899	12	Thioredoxin-like
PF13893	12	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
PF13657	12	HipA N-terminal domain
PF13492	12	GAF domain
PF13490	12	Putative zinc-finger
PF13457	12	SH3-like domain
PF13370	12	4Fe-4S single cluster domain of Ferredoxin I
PF11935	12	Domain of unknown function (DUF3453)
PF11918	12	N-terminal domain of Peptidase_S41 in eukaryotic IRBP
PF11806	12	Domain of unknown function (DUF3327)
PF11794	12	4-hydroxyphenylacetate 3-hydroxylase N terminal
PF11583	12	P-aminobenzoate N-oxygenase AurF
PF10370	12	Domain of unknown function (DUF2437)
PF10275	12	Peptidase C65 Otubain
PF10163	12	Transcription factor e(y)2
PF09770	12	Topoisomerase II-associated protein PAT1
PF09457	12	FIP domain 
PF09394	12	Chagasin family peptidase inhibitor I42
PF09364	12	XFP N-terminal domain
PF09363	12	XFP C-terminal domain
PF09228	12	Prokaryotic Transcriptional repressor TraM
PF09084	12	NMT1/THI5 like
PF08988	12	Type III secretion system, cytoplasmic E component of needle
PF08763	12	Voltage gated calcium channel IQ domain
PF08725	12	Integrin beta cytoplasmic domain
PF08516	12	ADAM cysteine-rich
PF08337	12	Plexin cytoplasmic RasGAP domain
PF08275	12	DNA primase catalytic core, N-terminal domain
PF08068	12	DKCLD (NUC011) domain
PF07940	12	Heparinase II/III-like protein
PF07722	12	Peptidase C26
PF06723	12	MreB/Mbl protein
PF06596	12	Photosystem II reaction centre X protein (PsbX)
PF06514	12	Photosystem II 12 kDa extrinsic protein (PsbU)
PF06321	12	Major fimbrial subunit protein (FimA)
PF06155	12	Protein of unknown function (DUF971)
PF06052	12	3-hydroxyanthranilic acid dioxygenase
PF05974	12	Domain of unknown function (DUF892)
PF05969	12	Photosystem II complex subunit Ycf12
PF05958	12	tRNA (Uracil-5-)-methyltransferase
PF05916	12	GINS complex protein
PF05775	12	Enterobacteria AfaD invasin protein
PF05529	12	B-cell receptor-associated protein 31-like 
PF05301	12	GNAT acetyltransferase, Mec-17 
PF05151	12	Photosystem II reaction centre M protein (PsbM)
PF04851	12	Type III restriction enzyme, res subunit
PF04739	12	5'-AMP-activated protein kinase beta subunit, interaction domain
PF04692	12	Platelet-derived growth factor, N terminal region
PF04539	12	Sigma-70 region 3
PF04433	12	SWIRM domain
PF04135	12	Nucleolar RNA-binding protein, Nop10p family
PF04023	12	FeoA domain
PF03950	12	tRNA synthetases class I (E and Q), anti-codon binding domain
PF03894	12	D-xylulose 5-phosphate/D-fructose 6-phosphate phosphoketolase
PF03723	12	Hemocyanin, ig-like domain
PF03722	12	Hemocyanin, all-alpha domain
PF03718	12	Glycosyl hydrolase family 49
PF03562	12	MltA specific insert domain
PF03556	12	Cullin binding
PF03241	12	4-hydroxyphenylacetate 3-hydroxylase C terminal
PF03220	12	Tombusvirus P19 core protein
PF03153	12	Transcription factor IIA, alpha/beta subunit
PF02916	12	DNA polymerase processivity factor
PF02873	12	UDP-N-acetylenolpyruvoylglucosamine reductase, C-terminal domain
PF02758	12	PAAD/DAPIN/Pyrin domain
PF02686	12	Glu-tRNAGln amidotransferase C subunit
PF02657	12	Fe-S metabolism associated domain
PF02637	12	GatB domain
PF02608	12	ABC transporter substrate-binding protein PnrA-like
PF02545	12	Maf-like protein
PF02533	12	Photosystem II 4 kDa reaction centre component
PF02532	12	Photosystem II reaction centre I protein (PSII 4.8 kDa protein)
PF02491	12	SHS2 domain inserted in FTSA
PF02419	12	PsbL protein
PF02263	12	Guanylate-binding protein, N-terminal domain
PF02174	12	PTB domain (IRS-1 type)
PF02098	12	Tick histamine binding protein
PF02074	12	Carboxypeptidase Taq (M32) metallopeptidase
PF01978	12	Sugar-specific transcriptional regulator TrmB
PF01941	12	S-adenosylmethionine synthetase (AdoMet synthetase)
PF01878	12	EVE domain
PF01857	12	Retinoblastoma-associated protein B domain
PF01788	12	PsbJ
PF01737	12	YCF9
PF01431	12	Peptidase family M13
PF01405	12	Photosystem II reaction centre T protein
PF01281	12	Ribosomal protein L9, N-terminal domain
PF01207	12	Dihydrouridine synthase (Dus)
PF01122	12	Eukaryotic cobalamin-binding protein
PF01043	12	SecA preprotein cross-linking domain
PF01012	12	Electron transfer flavoprotein domain
PF00964	12	Elicitin
PF00737	12	Photosystem II 10 kDa phosphoprotein
PF00528	12	Binding-protein-dependent transport system inner membrane component
PF00508	12	E2 (early) protein, N terminal
PF00372	12	Hemocyanin, copper containing domain
PF00332	12	Glycosyl hydrolases family 17
PF00312	12	Ribosomal protein S15
PF00284	12	Lumenal portion of Cytochrome b559, alpha (gene psbE) subunit
PF17440	11	Thiol-activated cytolysin beta sandwich domain
PF16916	11	Dimerisation domain of Zinc Transporter
PF16901	11	C-terminal domain of alpha-glycerophosphate oxidase
PF16864	11	Dimerisation domain
PF16569	11	Gram-positive pilin backbone subunit 2, Cna-B-like domain
PF16555	11	Gram-positive pilin subunit D1, N-terminal
PF16454	11	Phosphatidylinositol 3-kinase regulatory subunit P85 inter-SH2 domain
PF16374	11	Cycle inhibiting factor (CIF)
PF14633	11	SH2 domain
PF14518	11	Iron-containing redox enzyme
PF13469	11	Sulfotransferase family
PF13207	11	AAA domain
PF12897	11	Alanine-glyoxylate amino-transferase
PF12833	11	Helix-turn-helix domain
PF12631	11	MnmE helical domain
PF12605	11	Casein kinase 1 gamma C terminal
PF12296	11	Hydrophobic surface binding protein A
PF12219	11	Catalytic domain of bacteriophage endosialidase
PF12218	11	N terminal extension of bacteriophage endosialidase
PF11987	11	Translation-initiation factor 2
PF11612	11	Type II secretion system (T2SS), protein J
PF09701	11	CRISPR-associated protein (Cas_Cmr5)
PF09409	11	PUB domain
PF09289	11	Follistatin/Osteonectin-like EGF domain
PF09285	11	Elongation factor P, C-terminal
PF09113	11	Peptide-N-glycosidase F, C terminal
PF09112	11	Peptide-N-glycosidase F, N terminal
PF09067	11	Erythropoietin receptor, ligand binding
PF09019	11	EcoRII C terminal
PF08794	11	Lipoprotein GNA1870 C terminal like
PF08724	11	Rep protein catalytic domain like
PF08711	11	TFIIS helical bundle-like domain
PF08668	11	HDOD domain
PF08598	11	Sds3-like
PF08397	11	IRSp53/MIM homology domain
PF07830	11	Protein serine/threonine phosphatase 2C, C-terminal domain
PF07743	11	HSCB C-terminal oligomerisation domain
PF07677	11	A-macroglobulin receptor
PF07521	11	Zn-dependent metallo-hydrolase RNA specificity domain
PF07196	11	Flagellin hook IN motif
PF07009	11	NusG domain II
PF06431	11	Polyomavirus large T antigen C-terminus
PF06415	11	BPG-independent PGAM N-terminus (iPGM_N)
PF05922	11	Peptidase inhibitor I9
PF05899	11	Protein of unknown function (DUF861)
PF05219	11	DREV methyltransferase
PF05168	11	HEPN domain
PF05103	11	DivIVA protein
PF05000	11	RNA polymerase Rpb1, domain 4
PF04983	11	RNA polymerase Rpb1, domain 3
PF04565	11	RNA polymerase Rpb2, domain 3
PF04560	11	RNA polymerase Rpb2, domain 7
PF04493	11	Endonuclease V
PF04262	11	Glutamate-cysteine ligase 
PF04193	11	PQ loop repeat 
PF04107	11	Glutamate-cysteine ligase family 2(GCS2)
PF03966	11	Trm112p-like protein
PF03917	11	Eukaryotic glutathione synthase, ATP binding domain
PF03864	11	Phage major capsid protein E
PF03644	11	Glycosyl hydrolase family 85 
PF03536	11	Salmonella virulence-associated 28kDa protein
PF03479	11	Domain of unknown function (DUF296)
PF03465	11	eRF1 domain 3
PF03199	11	Eukaryotic glutathione synthase
PF03145	11	Seven in absentia protein family
PF03118	11	Bacterial RNA polymerase, alpha chain C terminal domain
PF03045	11	DAN domain
PF02823	11	ATP synthase, Delta/Epsilon chain, beta-sandwich domain
PF02678	11	Pirin
PF02583	11	Metal-sensitive transcriptional repressor
PF02557	11	D-alanyl-D-alanine carboxypeptidase
PF02492	11	CobW/HypB/UreG, nucleotide-binding domain
PF02457	11	DisA bacterial checkpoint controller nucleotide-binding
PF02330	11	Mitochondrial glycoprotein
PF02213	11	GYF domain
PF02203	11	Tar ligand binding domain homologue
PF02190	11	ATP-dependent protease La (LON) substrate-binding domain 
PF01964	11	Radical SAM ThiC family
PF01828	11	Peptidase A4 family
PF01515	11	Phosphate acetyl/butaryl transferase
PF01400	11	Astacin (Peptidase family M12A)
PF01192	11	RNA polymerase Rpb6 
PF01132	11	Elongation factor P (EF-P) OB domain
PF01095	11	Pectinesterase
PF01035	11	6-O-methylguanine DNA methyltransferase, DNA binding domain
PF00838	11	Translationally controlled tumour protein
PF00735	11	Septin
PF00723	11	Glycosyl hydrolases family 15
PF00700	11	Bacterial flagellin C-terminal helical region
PF00623	11	RNA polymerase Rpb1, domain 2
PF00554	11	Rel homology DNA-binding domain
PF00203	11	Ribosomal protein S19
PF00177	11	Ribosomal protein S7p/S5e
PF00140	11	Sigma-70 factor, region 1.2
PF17484	10	N-Lobe handle Tf-binding protein B
PF17200	10	Single Cache domain 2
PF16990	10	Carbohydrate binding module (family 35)
PF16925	10	Bacterial transcriptional repressor C-terminal
PF16875	10	Glycosyl hydrolase family 36 N-terminal domain
PF16874	10	Glycosyl hydrolase family 36 C-terminal domain
PF16570	10	Gram-positive pilin backbone subunit 3, Cna-B-like domain
PF16546	10	Homodimerisation domain of SGTA
PF16473	10	3' exoribonuclease, RNase T-like
PF14826	10	FACT complex subunit SPT16 N-terminal lobe domain
PF14684	10	Tricorn protease C1 domain
PF14580	10	Leucine-rich repeat
PF14413	10	Thg1 C terminal domain
PF13806	10	Rieske-like [2Fe-2S] domain
PF13774	10	Regulated-SNARE-like domain
PF13676	10	TIR domain
PF13394	10	4Fe-4S single cluster domain
PF13353	10	4Fe-4S single cluster domain
PF13241	10	Putative NAD(P)-binding
PF13186	10	Iron-sulfur cluster-binding domain
PF13023	10	HD domain
PF12019	10	Type II transport protein GspH
PF11890	10	Domain of unknown function (DUF3410)
PF11468	10	Aromatic prenyltransferase Orf2
PF11104	10	Type IV pilus assembly protein PilM;
PF10778	10	Halocarboxylic acid dehydrogenase DehI
PF10706	10	Aminoglycoside-2''-adenylyltransferase
PF10615	10	Protein of unknown function (DUF2470)
PF10432	10	Bacterial phospho-glucose isomerase C-terminal SIS domain
PF09439	10	Signal recognition particle receptor beta subunit
PF09123	10	Domain of unknown function (DUF1931)
PF08780	10	Nucleotidyltransferase substrate binding protein like
PF08774	10	VRR-NUC domain
PF08614	10	Autophagy protein 16 (ATG16)
PF08529	10	NusA N-terminal domain
PF08503	10	Tetrahydrodipicolinate succinyltransferase N-terminal
PF08459	10	UvrC Helix-hairpin-helix N-terminal
PF08411	10	Exonuclease C-terminal
PF08323	10	Starch synthase catalytic domain
PF08211	10	Cytidine and deoxycytidylate deaminase zinc-binding region 
PF08033	10	Sec23/Sec24 beta-sandwich domain
PF07976	10	Phenol hydroxylase, C-terminal dimerisation domain 
PF07974	10	EGF-like domain
PF07944	10	Beta-L-arabinofuranosidase, GH127
PF07834	10	RanGAP1 C-terminal domain
PF07813	10	LTXXQ motif family protein
PF07742	10	BTG family
PF07684	10	NOTCH protein
PF07090	10	Putative glutamine amidotransferase
PF06983	10	3-demethylubiquinone-9 3-methyltransferase
PF06838	10	Methionine gamma-lyase 
PF06816	10	NOTCH protein
PF06093	10	Spt4/RpoE2 zinc finger
PF06050	10	2-hydroxyglutaryl-CoA dehydratase, D-component 
PF06018	10	CodY GAF-like domain
PF05860	10	haemagglutination activity domain
PF05635	10	23S rRNA-intervening sequence protein
PF05328	10	CybS, succinate dehydrogenase cytochrome B small subunit
PF05013	10	N-formylglutamate amidohydrolase
PF04815	10	Sec23/Sec24 helical domain
PF04811	10	Sec23/Sec24 trunk domain
PF04810	10	Sec23/Sec24 zinc finger
PF04695	10	Peroxisomal membrane anchor protein (Pex14p) conserved region
PF04607	10	Region found in RelA / SpoT proteins
PF04548	10	AIG1 family
PF04358	10	DsrC like protein
PF04344	10	Chemotaxis phosphatase, CheZ
PF04327	10	Cysteine protease Prp
PF04234	10	CopC domain
PF04153	10	NOT2 / NOT3 / NOT5 family
PF04077	10	DsrH like protein
PF04042	10	DNA polymerase alpha/epsilon subunit B
PF03986	10	Autophagocytosis associated protein (Atg3), N-terminal domain 
PF03838	10	Recombination protein U
PF03830	10	PTS system sorbose subfamily IIB component
PF03816	10	Cell envelope-related transcriptional attenuator domain
PF03787	10	RAMP superfamily
PF03786	10	D-mannonate dehydratase (UxuA)
PF03726	10	Polyribonucleotide nucleotidyltransferase, RNA binding domain
PF03637	10	Mob1/phocein family
PF03416	10	Peptidase family C54
PF03370	10	Carbohydrate/starch-binding module (family 21)
PF03332	10	Eukaryotic phosphomannomutase
PF03330	10	Lytic transglycolase
PF03306	10	Alpha-acetolactate decarboxylase
PF03278	10	IpaB/EvcA family
PF03102	10	NeuB family
PF03071	10	GNT-I family
PF02824	10	TGS domain
